from_stop_id,to_stop_id,transfer_type,min_transfer_time
4473142,2187,2,330
2054,5991317,2,289
2054,5991316,2,270
7981145,1923,2,313
2047,3730340,2,227
7627571,2195,2,216
2482,7899574,2,276
1921,7376171,2,225
2077,7991796,2,217
1921,7376172,2,188
3741082,2243,2,244
2188,4117683,2,195
2188,4117682,2,212
6673082,1673,2,191
1999,4117683,2,195
1999,4117682,2,212
6673098,2386,2,304
2223,2155,2,360
2006,5067612,2,270
2006,5067611,2,270
2105,4889526,2,252
2105,4889527,2,252
2195,7376198,2,270
6673114,2348,2,207
2126,7991796,2,217
1672,3893353,2,277
4473130,2127,2,217
5605644,2188,2,195
2530,7945878,2,234
1809,3764102,2,234
4473142,1998,2,330
1809,3764103,2,234
5605644,1999,2,195
2387,7899254,2,227
2450,4834625,2,211
2387,7899255,2,257
2450,4834624,2,223
6673108,2482,2,275
1672,7932208,2,240
1672,7932207,2,254
1918,4758963,2,261
2188,6682693,2,212
1918,4758964,2,314
2095,22790,2,150
2503,5747138,2,251
2243,4758963,2,261
2188,6682694,2,195
2243,4758964,2,314
4473138,1775,2,388
1672,7946146,2,240
1672,7946145,2,254
1942,3909108,2,213
2195,4834678,2,270
2451,3672225,2,316
2095,3764088,2,185
2451,3672226,2,316
2095,3764087,2,185
2450,5121831,2,259
6673104,1998,2,321
2450,5121832,2,271
2248,4238753,2,242
2450,5121833,2,250
2248,4238752,2,242
2126,7275140,2,282
1706,3678810,2,288
1921,7312086,2,188
2246,5161524,2,188
1921,7312087,2,225
2246,5161525,2,225
1663,3682090,2,243
1706,3678809,2,311
2223,2036,2,360
2348,5121931,2,234
2246,7376172,2,188
2126,7946134,2,282
2348,5121930,2,234
2246,7376171,2,225
2333,7945922,2,253
2333,7945921,2,201
6673106,1866,2,232
7981247,1923,2,218
7981246,2248,2,295
2187,7292434,2,330
4473129,2078,2,235
4473126,2483,2,191
2223,2220,2,480
1650,7275160,2,248
2223,2222,2,120
2223,2221,2,540
2482,7899617,2,235
1968,2322,2,120
2103,3972558,2,228
2187,7945926,2,321
2047,4458777,2,207
6673112,1650,2,248
2187,7945927,2,270
6673103,2187,2,330
6748596,2243,2,241
4473125,1673,2,191
2054,7985472,2,204
2054,7985473,2,285
1693,5747138,2,251
6673105,2530,2,234
1998,7275162,2,321
2054,7985569,2,204
2333,7275211,2,232
2108,5121801,2,186
2482,7275155,2,276
1998,7275163,2,257
2108,5121800,2,186
2482,7275154,2,275
2054,7985566,2,273
2054,7985568,2,223
2077,4035729,2,205
2077,7899406,2,282
4473154,2348,2,207
2054,7985567,2,285
2195,7275188,2,270
1921,5161525,2,225
1921,5161524,2,188
2047,3755017,2,268
2387,7899386,2,227
1663,3682071,2,243
1663,3682070,2,260
2095,22789,2,150
7653669,2333,2,252
4473137,2386,2,304
2108,7275202,2,209
2333,7275210,2,236
2451,4146088,2,316
2077,7899176,2,217
1778,7275192,2,274
1778,7275193,2,321
4473130,2078,2,217
2054,3972558,2,228
2077,7275140,2,282
7981247,2248,2,218
2243,5355369,2,261
2243,5355368,2,314
2103,4035698,2,228
1866,7945881,2,232
1866,7945880,2,236
1923,4238753,2,242
6673097,1776,2,320
1923,4238752,2,242
2388,3763996,2,321
2388,3763995,2,274
1866,3813043,2,232
2108,3764027,2,209
4473140,1809,2,225
6673101,2348,2,225
1650,7275441,2,234
1664,5747142,2,297
2451,3672160,2,316
2482,6591460,2,261
2451,3672261,2,316
1809,6041794,2,234
1809,6041793,2,251
2223,1855,2,120
2243,5761291,2,261
2243,5761290,2,241
2348,6251679,2,207
1968,1967,2,120
1968,1966,2,540
1968,1965,2,480
48432,7899356,2,270
2451,3672161,2,316
2388,7275393,2,274
2530,4037255,2,210
2388,7275392,2,321
2474,5747142,2,297
2333,7275443,2,236
2482,4036771,2,240
2474,5747143,2,210
1672,7170698,2,215
2482,4036770,2,254
2333,7275444,2,232
1866,7921056,2,219
1960,3970614,2,232
1672,7899617,2,235
2103,6673036,2,285
2103,6673035,2,228
1968,1855,2,120
2248,7965057,2,250
1777,3678786,2,227
2126,7899406,2,282
2187,7921310,2,316
1672,4036770,2,254
1672,4036771,2,240
1777,7899300,2,257
6673082,2483,2,191
2482,8451936,2,240
1777,3678787,2,257
2126,7946090,2,217
4314769,2348,2,204
2333,7275456,2,253
2482,7170698,2,275
2333,7275455,2,201
