,insee,year,population,pct_ch,steps
185,78545,1999,14585.0,0.9835457549396452,6
186,78545,2006,15778.0,1.0817963661295853,7
187,78545,2012,17562.0,1.1130688300164786,8
188,78545,2017,18795.0,1.0702084045097369,9
189,91534,1962,1666.0,2.700162074554295,1
190,91534,1968,1991.0,1.195078031212485,2
191,91534,1975,2037.0,1.023103967855349,3
192,91534,1982,1865.0,0.9155621011291114,4
193,91534,1990,2894.0,1.5517426273458446,5
194,91534,1999,2882.0,0.9958534899792675,6
195,91534,2006,3003.0,1.0419847328244274,7
196,91534,2012,3637.0,1.211122211122211,8
197,91534,2017,4029.0,1.1077811383007974,9
198,78160,1962,2744.0,1.2980132450331126,1
199,78160,1968,3409.0,1.2423469387755102,2
200,78160,1975,4186.0,1.2279260780287475,3
201,78160,1982,4811.0,1.149307214524606,4
202,78160,1990,5027.0,1.044897110787778,5
203,78160,1999,5360.0,1.0662422916252239,6
204,78160,2006,5693.0,1.0621268656716418,7
205,78160,2012,5789.0,1.0168628139820832,8
206,78160,2017,5678.0,0.9808257039212299,9
207,91538,1962,117.0,1.054054054054054,1
208,91538,1968,176.0,1.5042735042735043,2
209,91538,1975,153.0,0.8693181818181818,3
210,91538,1982,448.0,2.9281045751633985,4
211,91538,1990,736.0,1.6428571428571428,5
212,91538,1999,695.0,0.9442934782608695,6
213,91538,2006,648.0,0.9323741007194245,7
214,91538,2012,699.0,1.0787037037037037,8
215,91538,2017,703.0,1.005722460658083,9
216,78688,1962,594.0,1.2829373650107991,1
217,78688,1968,680.0,1.1447811447811447,2
218,78688,1975,2132.0,3.135294117647059,3
219,78688,1982,5229.0,2.452626641651032,4
220,78688,1990,11220.0,2.1457257601835913,5
221,78688,1999,12150.0,1.0828877005347595,6
222,78688,2006,12366.0,1.0177777777777777,7
223,78688,2012,11470.0,0.9275432637878053,8
224,78688,2017,11088.0,0.9666957279860505,9
225,91411,1962,542.0,1.3091787439613527,1
226,91411,1968,645.0,1.1900369003690037,2
227,91411,1975,983.0,1.524031007751938,3
228,91411,1982,1125.0,1.1444557477110886,4
229,91411,1990,1559.0,1.3857777777777778,5
230,91411,1999,1652.0,1.0596536241180243,6
231,91411,2006,1804.0,1.0920096852300243,7
232,91411,2012,1981.0,1.0981152993348116,8
233,91411,2017,1914.0,0.9661786976274609,9
234,91482,1962,216.0,1.2272727272727273,1
235,91482,1968,222.0,1.0277777777777777,2
236,91482,1975,279.0,1.2567567567567568,3
237,91482,1982,329.0,1.17921146953405,4
238,91482,1990,474.0,1.4407294832826747,5
239,91482,1999,587.0,1.238396624472574,6
240,91482,2006,580.0,0.9880749574105622,7
241,91482,2012,632.0,1.089655172413793,8
242,91482,2017,549.0,0.8686708860759493,9
243,78162,1962,393.0,1.3789473684210527,1
244,78162,1968,391.0,0.9949109414758269,2
245,78162,1975,461.0,1.1790281329923273,3
246,78162,1982,462.0,1.002169197396963,4
247,78162,1990,551.0,1.1926406926406927,5
248,78162,1999,539.0,0.9782214156079855,6
249,78162,2006,518.0,0.961038961038961,7
250,78162,2012,538.0,1.0386100386100385,8
251,78162,2017,556.0,1.033457249070632,9
