,insee,TauxProprietaires,TauxChomage,NiveauVieMedian,densitehabkm2,dipl_su_tx,no2,o3,pm10,Tour1Candidat1,tp,medianendv,nb_redevables,patrimoineeuro,impotmoyeneuro,prixm2
31,78548,79.08,4.72,35335.0,76.91,0.57,15.09,32.33,24.1,FILLON FranÃ§ois,,35334.8,,,,2648.0
32,91312,69.81,6.97,29272.0,2711.86,0.49,22.38,31.28,26.96,MACRON Emmanuel,6.0,29272.0,,,,4236.0
33,91666,73.37,7.49,26378.0,419.37,0.35,21.08,32.24,26.72,MACRON Emmanuel,,26378.0,,,,2719.0
34,91635,82.55,7.8,34940.0,593.07,0.54,21.59,31.54,26.58,MACRON Emmanuel,,34940.0,,,,4511.0
35,91186,82.46,7.4,29354.0,158.99,0.48,15.69,32.82,24.46,MACRON Emmanuel,,29354.4,,,,2718.0
36,91243,80.16,7.25,27441.0,191.94,0.41,17.95,32.89,25.38,MACRON Emmanuel,,27440.5,,,,2796.0
37,91477,51.72,8.48,26366.0,2591.11,0.52,22.66,31.85,27.51,MACRON Emmanuel,8.0,26365.56,,,,3489.0
38,91363,71.5,8.51,27095.0,476.84,0.39,20.09,32.64,26.29,MACRON Emmanuel,6.0,27095.38,,,,2924.0
39,78640,39.54,7.52,26540.0,2308.92,0.42,23.95,30.41,27.47,MACRON Emmanuel,6.0,26539.52,,,,4281.0
40,91064,66.79,8.35,32078.0,460.47,0.56,23.49,31.22,27.33,FILLON FranÃ§ois,5.0,32078.33,,,,3951.0
41,91661,60.98,7.5,27629.0,1300.67,0.49,22.46,31.93,27.43,MACRON Emmanuel,6.0,27629.0,,,,3348.0
42,91458,75.71,6.61,27933.0,641.73,0.43,21.18,32.31,26.73,MACRON Emmanuel,5.0,27933.2,,,,3254.0
43,91216,68.23,10.37,26763.0,2357.4,0.39,23.95,31.69,28.28,MACRON Emmanuel,7.0,26763.0,,,,3371.0
44,91667,77.62,8.87,28717.0,2994.42,0.45,23.35,31.63,27.76,MACRON Emmanuel,5.0,28717.14,,,,3297.0
45,91432,68.18,10.28,24277.0,2617.88,0.31,25.72,30.92,29.86,MACRON Emmanuel,9.0,24277.0,,,,3257.0
46,91161,60.27,10.9,21713.0,3340.96,0.32,25.32,31.0,29.52,MACRON Emmanuel,14.0,21712.67,,,,2586.0
47,91345,52.19,12.29,21876.0,4425.93,0.33,24.3,31.28,28.56,MACRON Emmanuel,14.0,21876.0,,,,2812.0
48,92022,53.35,7.85,29561.0,5280.67,0.57,24.05,29.78,27.52,MACRON Emmanuel,8.0,29560.8,100.0,1874160.01,6049.44,5064.0
49,92048,52.86,9.88,28076.0,4523.62,0.52,25.09,30.07,28.79,MACRON Emmanuel,9.0,28076.0,368.0,2047998.73,6815.59,4989.0
50,91689,66.28,7.95,27131.0,668.09,0.41,26.84,30.76,30.49,MACRON Emmanuel,5.0,27131.11,,,,4002.0
51,94034,52.94,10.04,22226.0,7407.58,0.36,27.38,30.4,30.89,MACRON Emmanuel,13.0,22226.09,,,,3135.0
52,91377,40.69,11.15,22511.0,4570.24,0.47,25.02,31.38,29.21,MACRON Emmanuel,15.0,22511.0,,,,3379.0
53,92002,58.9,9.39,29100.0,6486.61,0.56,26.39,30.9,29.96,MACRON Emmanuel,8.0,29099.52,229.0,1983851.72,7066.11,4812.0
54,91136,69.99,9.08,23459.0,699.73,0.26,23.64,31.22,28.21,MÃ‰LENCHON Jean-Luc,10.0,23459.18,,,,3383.0
55,91645,69.69,7.29,33933.0,1554.95,0.58,24.12,31.16,28.16,MACRON Emmanuel,5.0,33933.4,,,,4371.0
56,92014,50.31,9.75,31039.0,10743.01,0.64,26.94,30.13,30.52,MACRON Emmanuel,9.0,31038.67,149.0,2184139.88,8601.64,5057.0
57,92060,43.95,7.89,27545.0,8244.28,0.49,24.74,30.43,28.56,MACRON Emmanuel,6.0,27545.28,69.0,2007167.29,6522.45,4976.0
58,92071,48.93,8.93,33503.0,5536.11,0.66,26.27,30.55,29.91,MACRON Emmanuel,6.0,33503.0,,,,5717.0
59,92019,41.54,11.77,24150.0,5028.68,0.47,25.01,30.82,28.75,MACRON Emmanuel,12.0,24150.0,95.0,2098436.32,8312.55,4319.0
60,91425,60.7,7.84,24892.0,2114.16,0.37,20.82,32.22,26.38,FILLON FranÃ§ois,8.0,24892.0,,,,2845.0
61,91347,82.15,7.66,26904.0,1277.32,0.39,21.47,32.17,26.71,MACRON Emmanuel,10.0,26903.5,,,,2992.0
62,91685,69.19,9.28,26228.0,2170.95,0.41,22.03,31.95,27.02,MACRON Emmanuel,5.0,26228.1,,,,3173.0
63,92023,50.45,10.85,26163.0,6019.52,0.47,25.56,30.41,29.38,MACRON Emmanuel,12.0,26162.67,238.0,2025761.19,6803.98,5229.0
64,92020,46.37,9.32,27542.0,11401.02,0.53,26.42,29.87,30.17,MACRON Emmanuel,9.0,27542.4,75.0,2089412.92,7767.56,5311.0
65,92032,42.56,10.92,24923.0,9204.74,0.5,25.65,30.32,29.32,MACRON Emmanuel,11.0,24922.81,67.0,1964281.04,6220.57,4564.0
66,91339,73.79,8.78,24779.0,857.76,0.29,20.37,32.43,26.14,LE PEN Marine,10.0,24779.05,,,,2858.0
67,91665,72.86,9.37,25432.0,2005.07,0.33,21.16,32.11,26.65,MACRON Emmanuel,7.0,25431.54,,,,3167.0
68,91333,81.4,9.34,25615.0,1637.6,0.35,19.68,32.23,25.82,MACRON Emmanuel,8.0,25615.33,,,,2903.0
69,91044,73.41,7.9,26944.0,944.75,0.41,22.87,31.85,27.6,MACRON Emmanuel,7.0,26943.89,,,,3576.0
70,91587,71.32,8.67,25192.0,656.09,0.36,23.21,31.82,27.9,MACRON Emmanuel,6.0,25192.4,,,,3011.0
71,78686,63.38,6.7,33254.0,4492.29,0.65,23.78,29.87,27.13,MACRON Emmanuel,5.0,33253.75,,,,5085.0
72,91589,64.54,11.61,24013.0,5297.0,0.36,25.13,31.21,29.35,MACRON Emmanuel,12.0,24012.67,,,,3236.0
73,91479,62.34,10.38,23994.0,1183.33,0.25,27.16,30.78,30.81,LE PEN Marine,9.0,23994.0,,,,3826.0
74,94016,39.16,13.51,23126.0,10217.27,0.48,28.31,30.09,31.63,MACRON Emmanuel,15.0,23125.64,,,,4543.0
75,92040,39.6,8.48,30422.0,15370.82,0.61,26.03,29.28,29.91,MACRON Emmanuel,8.0,30422.0,307.0,1989043.77,6380.88,6729.0
76,94065,65.44,7.38,28743.0,1352.62,0.43,27.68,30.35,31.13,MACRON Emmanuel,5.0,28742.67,,,,4112.0
77,92007,24.1,16.41,18738.0,9091.39,0.34,27.85,30.21,31.3,MÃ‰LENCHON Jean-Luc,21.0,18738.33,,,,4425.0
78,92049,40.81,9.82,27477.0,23531.4,0.57,28.27,29.03,31.68,MACRON Emmanuel,11.0,27477.33,158.0,2220990.13,9363.35,6117.0
79,92075,43.69,9.91,27857.0,17321.79,0.56,27.38,28.74,30.96,MACRON Emmanuel,9.0,27857.0,140.0,2042435.27,7333.36,5837.0
80,92046,27.72,12.24,23087.0,14863.77,0.44,26.8,29.15,30.57,MÃ‰LENCHON Jean-Luc,13.0,23087.22,61.0,2216358.56,7814.26,5652.0
81,91326,45.03,11.87,22478.0,6692.38,0.42,25.02,30.87,29.32,MACRON Emmanuel,14.0,22477.78,,,,3184.0
82,94021,41.52,10.38,20925.0,4391.47,0.33,28.66,30.42,31.64,MÃ‰LENCHON Jean-Luc,16.0,20925.2,,,,3344.0
83,94076,38.88,14.89,19468.0,10571.46,0.36,29.95,29.96,32.73,MÃ‰LENCHON Jean-Luc,21.0,19468.46,,,,4323.0
84,94073,52.08,12.25,22431.0,4538.66,0.35,29.06,30.45,31.95,MACRON Emmanuel,15.0,22431.25,,,,3427.0
85,91027,44.38,9.38,20835.0,3460.67,0.3,25.75,30.82,30.13,MÃ‰LENCHON Jean-Luc,16.0,20835.33,,,,3139.0
86,92012,43.74,9.83,31777.0,18897.56,0.64,26.94,29.0,30.49,FILLON FranÃ§ois,9.0,31777.33,1661.0,2188566.26,8092.76,7360.0
87,94037,22.72,15.23,19914.0,14437.61,0.38,29.39,28.74,32.6,MÃ‰LENCHON Jean-Luc,20.0,19913.81,,,,5040.0
88,94003,30.19,14.17,21500.0,8626.61,0.41,28.51,29.08,31.91,MÃ‰LENCHON Jean-Luc,17.0,21500.43,,,,4611.0
89,94043,27.08,14.15,21805.0,16750.64,0.45,29.93,29.0,32.9,MACRON Emmanuel,17.0,21805.0,,,,4983.0
90,94038,47.44,12.35,22273.0,7839.49,0.39,28.91,30.45,31.84,MACRON Emmanuel,16.0,22273.41,52.0,2036460.38,7612.44,3888.0
91,94081,36.93,17.54,17943.0,7407.8,0.29,31.28,30.2,33.2,MÃ‰LENCHON Jean-Luc,24.0,17943.33,,,,3704.0
92,94041,28.65,16.41,17663.0,9491.84,0.37,31.81,28.97,33.67,MÃ‰LENCHON Jean-Luc,28.0,17662.86,,,,4310.0
93,75103,33.71,10.7,31333.0,,0.7,31.66,27.51,33.52,MACRON Emmanuel,13.0,31333.0,681.0,2524440.65,11379.88,
94,75101,33.51,10.89,32697.0,,0.65,31.37,27.52,33.06,MACRON Emmanuel,11.0,32697.33,482.0,2692822.67,12570.36,
95,75114,31.36,11.8,27288.0,,0.62,30.46,28.75,32.78,MACRON Emmanuel,13.0,27287.6,1655.0,2294996.97,9172.51,
96,75107,38.16,9.56,42466.0,,0.72,32.52,27.81,33.1,FILLON FranÃ§ois,8.0,42465.56,3913.0,3086755.64,15497.69,
97,75113,26.97,12.86,23751.0,,0.54,31.79,28.48,33.84,MACRON Emmanuel,17.0,23750.68,887.0,2136714.69,8131.57,
98,75102,34.34,10.78,30567.0,,0.69,32.41,27.51,33.54,MACRON Emmanuel,14.0,30566.5,270.0,2225963.43,8608.2,
99,75105,34.25,9.74,33169.0,,0.73,31.12,27.98,33.18,MACRON Emmanuel,10.0,33169.33,1550.0,2315261.59,9055.89,
100,75106,39.67,10.14,39063.0,,0.73,30.86,27.93,32.9,FILLON FranÃ§ois,9.0,39062.67,2588.0,2763411.19,12679.54,
101,75115,31.39,9.91,30448.0,,0.66,30.95,28.59,32.48,MACRON Emmanuel,12.0,30448.0,2948.0,2189492.23,8301.93,
102,75109,38.42,9.92,33258.0,,0.71,32.3,27.51,33.19,MACRON Emmanuel,12.0,33258.0,1045.0,2203110.76,8352.6,
103,75104,33.98,10.56,31007.0,,0.7,31.92,27.82,33.65,MACRON Emmanuel,12.0,31007.22,811.0,2696138.07,12966.64,
104,75108,36.4,9.08,40540.0,,0.69,32.87,27.62,33.42,FILLON FranÃ§ois,9.0,40540.0,1969.0,2800935.38,13268.62,
105,94018,38.73,10.62,27571.0,16066.3,0.52,31.46,28.38,33.2,MACRON Emmanuel,10.0,27570.95,189.0,2152216.3,8019.75,6347.0
106,75111,34.57,11.96,26810.0,,0.63,32.9,27.86,33.95,MACRON Emmanuel,15.0,26810.33,985.0,2121354.34,7816.46,
107,75110,35.95,12.14,25618.0,,0.62,32.99,27.89,33.82,MACRON Emmanuel,18.0,25618.0,482.0,2171289.52,8380.5,
108,91434,65.27,12.91,23062.0,4804.34,0.31,23.72,31.4,27.93,MÃ‰LENCHON Jean-Luc,12.0,23062.0,,,,3059.0
109,75116,44.82,10.23,38387.0,,0.67,32.96,28.8,33.1,FILLON FranÃ§ois,11.0,38387.0,8502.0,2730206.16,12280.63,
110,92072,53.27,10.61,30755.0,5923.16,0.58,25.05,29.61,28.73,MACRON Emmanuel,8.0,30755.0,247.0,2030028.0,6888.88,5408.0
111,92044,36.66,10.04,30931.0,26706.2,0.59,31.84,27.79,32.87,FILLON FranÃ§ois,9.0,30930.67,546.0,2236646.47,8473.02,7818.0
112,92051,49.76,9.44,43849.0,16612.1,0.67,31.69,28.04,32.79,FILLON FranÃ§ois,8.0,43848.67,3387.0,2835535.11,13717.34,8590.0
113,92064,51.31,8.72,36616.0,3882.18,0.65,25.92,29.64,29.55,FILLON FranÃ§ois,6.0,36616.0,585.0,2349573.25,8917.9,6153.0
114,75117,35.12,11.52,30282.0,,0.63,33.29,28.12,33.56,FILLON FranÃ§ois,14.0,30281.5,3419.0,2395147.95,9581.78,
115,93061,25.6,17.8,19257.0,25821.43,0.35,32.25,28.41,32.48,MÃ‰LENCHON Jean-Luc,22.0,19256.5,,,,5059.0
116,93070,22.63,17.61,17329.0,11190.4,0.35,32.97,28.77,33.17,MÃ‰LENCHON Jean-Luc,28.0,17328.67,,,,4717.0
117,94067,46.75,9.58,32075.0,24768.89,0.59,31.4,28.12,32.8,FILLON FranÃ§ois,9.0,32074.67,409.0,2414991.85,10187.04,7228.0
118,92024,29.23,14.41,18789.0,19304.55,0.44,31.77,28.26,32.56,MACRON Emmanuel,24.0,18788.67,52.0,2064632.42,7864.81,5426.0
119,94002,30.09,15.5,19695.0,12073.17,0.37,30.85,29.55,32.93,MÃ‰LENCHON Jean-Luc,22.0,19694.5,,,,4362.0
120,94022,41.41,15.45,19105.0,7644.18,0.34,28.87,30.18,32.01,MÃ‰LENCHON Jean-Luc,22.0,19105.29,,,,3362.0
121,75120,27.55,15.0,21017.0,,0.5,32.82,28.19,33.75,MÃ‰LENCHON Jean-Luc,22.0,21017.33,447.0,2050430.74,7419.09,
122,75119,28.32,16.69,19611.0,,0.46,33.83,28.62,33.73,MÃ‰LENCHON Jean-Luc,24.0,19610.67,445.0,2162784.69,7989.63,
123,75118,33.53,13.35,21542.0,,0.55,33.68,28.25,33.89,MACRON Emmanuel,22.0,21541.74,720.0,2396046.87,9882.3,
124,92073,37.97,10.12,28371.0,12335.79,0.56,26.73,29.02,30.57,MACRON Emmanuel,10.0,28370.74,229.0,2024496.64,6801.53,6020.0
125,93013,40.61,18.9,16325.0,7342.16,0.23,30.06,30.1,30.9,MÃ‰LENCHON Jean-Luc,31.0,16324.67,,,,3177.0
126,93008,26.98,24.19,14452.0,7006.53,0.18,31.8,30.02,31.85,MÃ‰LENCHON Jean-Luc,36.0,14451.63,,,,3066.0
127,93029,45.39,20.04,16846.0,8553.92,0.18,31.1,30.15,31.51,MÃ‰LENCHON Jean-Luc,29.0,16846.0,,,,3204.0
128,93074,59.59,13.08,22389.0,1800.27,0.26,27.53,31.06,31.51,LE PEN Marine,12.0,22388.89,,,,3132.0
129,77514,56.68,12.26,20835.0,2954.82,0.26,26.96,31.23,31.82,MÃ‰LENCHON Jean-Luc,15.0,20835.33,,,,2968.0
130,93053,35.94,19.28,16395.0,7982.54,0.26,30.91,29.77,31.8,MÃ‰LENCHON Jean-Luc,30.0,16394.5,,,,3313.0
131,93015,84.31,8.91,25472.0,1121.9,0.31,27.26,31.16,31.16,LE PEN Marine,5.0,25472.26,,,,2942.0
132,93047,62.15,14.65,18621.0,4790.22,0.22,27.62,31.19,31.2,MÃ‰LENCHON Jean-Luc,25.0,18621.48,,,,3009.0
133,77139,81.48,10.65,25339.0,1516.91,0.3,26.7,31.21,31.21,MACRON Emmanuel,7.0,25338.57,,,,2990.0
134,93046,57.39,12.7,20447.0,5711.41,0.28,28.85,30.99,31.73,MACRON Emmanuel,17.0,20446.67,,,,2968.0
135,93073,57.98,15.65,20010.0,1525.1,0.23,28.89,31.34,32.34,MÃ‰LENCHON Jean-Luc,17.0,20009.57,,,,2884.0
136,95277,42.58,17.35,17626.0,1306.21,0.21,28.9,31.65,31.58,MÃ‰LENCHON Jean-Luc,24.0,17626.25,,,,2712.0
137,93007,41.21,21.85,15804.0,6385.73,0.17,30.02,30.37,31.63,MÃ‰LENCHON Jean-Luc,32.0,15803.75,,,,3138.0
138,95088,68.48,17.46,21597.0,149.58,0.24,28.45,30.94,30.8,LE PEN Marine,,21597.35,,,,3130.0
139,95527,31.57,9.85,24477.0,201.9,0.28,27.22,31.15,31.22,LE PEN Marine,,24476.67,,,,3318.0
140,93030,14.25,21.12,15584.0,2779.12,0.18,29.59,30.5,30.82,MÃ‰LENCHON Jean-Luc,33.0,15584.23,,,,2509.0
141,93078,57.65,20.61,17933.0,3440.5,0.21,28.9,30.98,31.87,MÃ‰LENCHON Jean-Luc,22.0,17933.0,,,,2590.0
142,95212,48.94,8.2,,28.57,0.27,24.32,31.43,30.34,LE PEN Marine,,,,,,
143,94058,61.42,9.64,28317.0,8387.37,0.5,30.23,29.5,31.86,MACRON Emmanuel,9.0,28317.0,172.0,2015398.15,6368.53,4879.0
144,93049,60.12,11.44,24036.0,6053.51,0.39,29.2,30.05,31.52,MACRON Emmanuel,13.0,24035.83,,,,3730.0
145,93033,75.61,7.26,27681.0,3883.23,0.44,27.88,30.64,31.19,FILLON FranÃ§ois,7.0,27681.2,,,,3861.0
146,93032,58.58,13.75,21113.0,5633.48,0.3,28.42,31.07,31.52,MACRON Emmanuel,17.0,21113.33,,,,3106.0
147,93064,46.47,13.96,19947.0,6968.58,0.31,30.05,30.08,31.78,MÃ‰LENCHON Jean-Luc,20.0,19946.67,,,,3329.0
148,93062,55.86,12.04,26564.0,6135.68,0.45,28.2,30.48,31.28,FILLON FranÃ§ois,12.0,26563.74,,,,3821.0
149,93077,51.71,12.13,21782.0,7021.78,0.34,29.05,30.51,31.69,MACRON Emmanuel,19.0,21782.22,52.0,2197709.6,8727.31,3388.0
150,93050,43.97,13.45,19199.0,4878.77,0.3,28.76,30.67,31.38,MÃ‰LENCHON Jean-Luc,21.0,19199.21,,,,2975.0
151,93010,42.74,22.51,15978.0,9680.84,0.21,29.76,30.09,31.49,MÃ‰LENCHON Jean-Luc,31.0,15978.33,,,,2968.0
152,93057,56.09,13.24,20357.0,7548.46,0.3,28.71,30.23,31.23,MACRON Emmanuel,20.0,20357.39,,,,3141.0
153,93063,34.86,19.42,17681.0,7394.78,0.27,31.34,29.29,31.97,MÃ‰LENCHON Jean-Luc,26.0,17681.25,,,,4178.0
154,93071,48.92,20.57,15784.0,6856.58,0.19,28.72,30.84,31.66,MÃ‰LENCHON Jean-Luc,31.0,15783.6,,,,2597.0
155,93005,48.15,19.56,17211.0,5069.97,0.23,29.96,30.86,32.02,MÃ‰LENCHON Jean-Luc,27.0,17210.61,,,,3176.0
156,95612,69.91,13.56,20863.0,1041.41,0.22,25.88,31.38,30.41,LE PEN Marine,15.0,20862.67,,,,2720.0
157,95280,53.63,18.21,16800.0,2716.32,0.16,25.13,31.93,30.26,MÃ‰LENCHON Jean-Luc,27.0,16800.0,,,,2873.0
158,95019,71.54,16.19,18983.0,4769.79,0.21,26.13,31.36,29.76,MÃ‰LENCHON Jean-Luc,21.0,18983.33,,,,2925.0
159,95351,61.7,11.77,21284.0,841.67,0.27,24.17,32.16,30.18,MÃ‰LENCHON Jean-Luc,12.0,21283.85,,,,2833.0
160,95154,65.14,7.23,23307.0,73.04,0.24,23.39,31.65,30.06,LE PEN Marine,,23306.67,,,,1818.0
161,95633,70.59,12.0,,790.0,0.1,25.88,31.38,30.41,LE PEN Marine,,,,,,
162,95675,74.15,7.13,27120.0,147.81,0.28,23.22,32.24,29.96,LE PEN Marine,,27119.5,,,,3136.0
163,95094,62.5,11.04,22422.0,119.43,0.18,23.66,31.85,29.33,LE PEN Marine,,22421.6,,,,2634.0
164,93014,35.63,22.26,13204.0,7553.16,0.13,28.11,30.92,31.36,MÃ‰LENCHON Jean-Luc,45.0,13204.0,,,,1636.0
165,77282,69.64,14.12,23069.0,36.31,0.19,25.25,31.49,30.71,LE PEN Marine,,23068.94,,,,2353.0
166,95509,86.07,9.25,24496.0,632.63,0.27,21.59,32.73,29.03,MACRON Emmanuel,8.0,24496.0,,,,2750.0
167,77294,60.8,13.51,21333.0,628.86,0.22,27.49,31.42,32.2,MÃ‰LENCHON Jean-Luc,12.0,21333.33,,,,3015.0
168,77291,44.69,12.98,21310.0,86.57,0.17,25.48,31.31,31.02,LE PEN Marine,,21310.0,,,,2753.0
169,95250,74.61,10.64,21960.0,2637.47,0.25,19.29,32.93,28.23,MÃ‰LENCHON Jean-Luc,11.0,21960.0,,,,2591.0
170,95604,57.18,11.44,21811.0,720.84,0.28,20.08,32.51,28.97,LE PEN Marine,9.0,21810.95,,,,2473.0
171,95580,89.55,7.08,34466.0,341.15,0.5,21.02,32.52,29.36,FILLON FranÃ§ois,,34466.0,,,,2645.0
172,95641,62.45,9.92,24984.0,266.14,0.32,22.48,32.22,29.9,LE PEN Marine,,24984.29,,,,2871.0
173,77322,79.66,7.84,25258.0,197.64,0.27,21.97,32.5,29.73,LE PEN Marine,,25257.62,,,,2507.0
174,95371,79.84,9.71,25027.0,631.69,0.3,21.2,32.77,29.09,LE PEN Marine,6.0,25026.54,,,,2884.0
175,95144,43.48,4.88,,22.83,0.62,21.46,32.6,28.85,FILLON FranÃ§ois,,,,,,
176,77323,68.36,8.57,24581.0,136.89,0.29,22.26,32.09,29.87,LE PEN Marine,,24581.43,,,,3059.0
177,77259,56.52,14.14,23653.0,529.89,0.26,20.64,32.07,29.67,LE PEN Marine,,23652.8,,,,2696.0
178,77511,49.61,10.84,21332.0,84.02,0.22,23.15,31.59,30.4,LE PEN Marine,,21331.72,,,,2984.0
179,77123,71.73,7.85,24092.0,135.9,0.19,23.87,31.21,31.23,LE PEN Marine,,24092.22,,,,2599.0
180,93027,25.74,25.97,13399.0,5164.98,0.17,31.57,30.31,31.48,MÃ‰LENCHON Jean-Luc,43.0,13399.33,,,,2818.0
181,93001,22.12,23.42,13241.0,13079.24,0.2,33.59,29.51,32.72,MÃ‰LENCHON Jean-Luc,45.0,13240.67,,,,3312.0
182,95210,54.08,10.99,28985.0,6531.07,0.52,27.11,30.61,29.79,FILLON FranÃ§ois,9.0,28984.78,,,,4514.0
183,93066,22.95,23.32,14622.0,8704.52,0.25,33.41,30.28,33.03,MÃ‰LENCHON Jean-Luc,38.0,14621.5,,,,3335.0
184,92078,24.09,18.83,16843.0,8013.75,0.21,30.27,29.73,31.47,MÃ‰LENCHON Jean-Luc,25.0,16843.33,,,,3234.0
185,95197,60.39,9.76,22731.0,5785.56,0.4,27.35,31.21,29.79,MACRON Emmanuel,14.0,22731.0,,,,3231.0
186,95555,48.57,15.04,21729.0,7464.6,0.35,27.1,30.76,29.99,MACRON Emmanuel,15.0,21728.57,,,,3360.0
187,93072,30.37,21.43,14598.0,6461.97,0.15,29.29,30.95,30.51,MÃ‰LENCHON Jean-Luc,38.0,14598.33,,,,2778.0
188,93031,35.0,17.8,15844.0,11856.52,0.21,29.3,30.49,30.83,MÃ‰LENCHON Jean-Luc,31.0,15843.89,,,,2619.0
189,93059,36.15,21.77,14527.0,8123.48,0.17,29.01,30.89,30.36,MÃ‰LENCHON Jean-Luc,37.0,14526.67,,,,2792.0
190,93039,24.09,22.85,15772.0,4021.14,0.27,30.6,30.05,31.59,MÃ‰LENCHON Jean-Luc,31.0,15772.0,,,,2967.0
191,92036,20.36,20.4,16716.0,3602.23,0.23,31.54,30.0,32.18,MÃ‰LENCHON Jean-Luc,27.0,16716.0,,,,3788.0
192,95427,57.02,14.59,19056.0,4828.62,0.28,27.59,31.27,29.87,MÃ‰LENCHON Jean-Luc,22.0,19055.59,,,,2750.0
193,95268,35.34,20.12,14182.0,7303.31,0.17,28.36,31.17,30.32,MÃ‰LENCHON Jean-Luc,39.0,14182.0,,,,2437.0
194,93045,38.92,14.68,22546.0,17861.11,0.43,31.8,28.79,32.29,MÃ‰LENCHON Jean-Luc,16.0,22545.83,,,,5612.0
195,93079,24.86,24.84,14801.0,5425.75,0.17,28.38,30.55,30.25,MÃ‰LENCHON Jean-Luc,33.0,14801.0,,,,2753.0
