Unnamed: 0.1,Unnamed: 0.1.1,insee,TauxProprietaires,TauxChomage,NiveauVieMedian,densitehabkm2,dipl_su_tx,no2,o3,pm10,Tour1Candidat1,tp,medianendv,nb_redevables,patrimoineeuro,impotmoyeneuro,prixm2,candidat_last_name,candidat_couleur,nom,year,population,pct_ch,steps
59,531,92019,41.54,11.77,24150.0,5028.68,0.47,25.01,30.82,28.75,Emmanuel MACRON,12.0,24150.0,95.0,2098436.32,8312.55,4319.0,MACRON,#f0a399,Châtenay-Malabry,1962,24756.0,2.6970258198060795,2
60,540,91425,60.7,7.84,24892.0,2114.16,0.37,20.82,32.22,26.38,François FILLON,8.0,24892.0,,,,2845.0,FILLON,#2166ac,Montlhéry,1962,3003.0,1.1213592233009708,2
61,549,91347,82.15,7.66,26904.0,1277.32,0.39,21.47,32.17,26.71,Emmanuel MACRON,10.0,26903.5,,,,2992.0,MACRON,#f0a399,Longpont-sur-Orge,1962,1294.0,1.3217568947906029,2
62,558,91685,69.19,9.28,26228.0,2170.95,0.41,22.03,31.95,27.02,Emmanuel MACRON,5.0,26228.1,,,,3173.0,MACRON,#f0a399,Villiers-sur-Orge,1962,754.0,1.4093457943925234,2
63,567,92023,50.45,10.85,26163.0,6019.52,0.47,25.56,30.41,29.38,Emmanuel MACRON,12.0,26162.67,238.0,2025761.19,6803.98,5229.0,MACRON,#f0a399,Clamart,1962,47991.0,1.4191383032202738,2
64,576,92020,46.37,9.32,27542.0,11401.02,0.53,26.42,29.87,30.17,Emmanuel MACRON,9.0,27542.4,75.0,2089412.92,7767.56,5311.0,MACRON,#f0a399,Châtillon,1962,20934.0,1.7933693138010791,2
65,585,92032,42.56,10.92,24923.0,9204.74,0.5,25.65,30.32,29.32,Emmanuel MACRON,11.0,24922.81,67.0,1964281.04,6220.57,4564.0,MACRON,#f0a399,Fontenay-aux-Roses,1962,20237.0,2.7145539906103284,2
66,594,91339,73.79,8.78,24779.0,857.76,0.29,20.37,32.43,26.14,Marine LE PEN,10.0,24779.05,,,,2858.0,LE,#053061,Linas,1962,1833.0,1.5481418918918919,2
67,603,91665,72.86,9.37,25432.0,2005.07,0.33,21.16,32.11,26.65,Emmanuel MACRON,7.0,25431.54,,,,3167.0,MACRON,#f0a399,La Ville-du-Bois,1962,2052.0,1.7243697478991598,2
68,612,91333,81.4,9.34,25615.0,1637.6,0.35,19.68,32.23,25.82,Emmanuel MACRON,8.0,25615.33,,,,2903.0,MACRON,#f0a399,Leuville-sur-Orge,1962,1198.0,1.4574209245742094,2
69,621,91044,73.41,7.9,26944.0,944.75,0.41,22.87,31.85,27.6,Emmanuel MACRON,7.0,26943.89,,,,3576.0,MACRON,#f0a399,Ballainvilliers,1962,890.0,1.3088235294117647,2
70,630,91587,71.32,8.67,25192.0,656.09,0.36,23.21,31.82,27.9,Emmanuel MACRON,6.0,25192.4,,,,3011.0,MACRON,#f0a399,Saulx-les-Chartreux,1962,1693.0,1.4445392491467577,2
71,639,78686,63.38,6.7,33254.0,4492.29,0.65,23.78,29.87,27.13,Emmanuel MACRON,5.0,33253.75,,,,5085.0,MACRON,#f0a399,Viroflay,1962,16004.0,1.305170445278095,2
72,648,91589,64.54,11.61,24013.0,5297.0,0.36,25.13,31.21,29.35,Emmanuel MACRON,12.0,24012.67,,,,3236.0,MACRON,#f0a399,Savigny-sur-Orge,1962,24219.0,1.6755915317559154,2
73,657,91479,62.34,10.38,23994.0,1183.33,0.25,27.16,30.78,30.81,Marine LE PEN,9.0,23994.0,,,,3826.0,LE,#053061,Paray-Vieille-Poste,1962,6202.0,1.4728093089527428,2
74,666,94016,39.16,13.51,23126.0,10217.27,0.48,28.31,30.09,31.63,Emmanuel MACRON,15.0,23125.64,,,,4543.0,MACRON,#f0a399,Cachan,1962,23282.0,1.5364614267801755,2
75,675,92040,39.6,8.48,30422.0,15370.82,0.61,26.03,29.28,29.91,Emmanuel MACRON,8.0,30422.0,307.0,1989043.77,6380.88,6729.0,MACRON,#f0a399,Issy-les-Moulineaux,1962,51776.0,1.2197224905180335,2
76,684,94065,65.44,7.38,28743.0,1352.62,0.43,27.68,30.35,31.13,Emmanuel MACRON,5.0,28742.67,,,,4112.0,MACRON,#f0a399,Rungis,1962,1851.0,3.3654545454545453,2
77,693,92007,24.1,16.41,18738.0,9091.39,0.34,27.85,30.21,31.3,Jean-Luc MELENCHON,21.0,18738.33,,,,4425.0,MÃ‰LENCHON,#b2182b,Bagneux,1962,38044.0,3.0618913480885315,2
78,702,92049,40.81,9.82,27477.0,23531.4,0.57,28.27,29.03,31.68,Emmanuel MACRON,11.0,27477.33,158.0,2220990.13,9363.35,6117.0,MACRON,#f0a399,Montrouge,1962,45260.0,1.3030084928746222,2
79,711,92075,43.69,9.91,27857.0,17321.79,0.56,27.38,28.74,30.96,Emmanuel MACRON,9.0,27857.0,140.0,2042435.27,7333.36,5837.0,MACRON,#f0a399,Vanves,1962,25585.0,1.2373053486797565,2
80,720,92046,27.72,12.24,23087.0,14863.77,0.44,26.8,29.15,30.57,Jean-Luc MELENCHON,13.0,23087.22,61.0,2216358.56,7814.26,5652.0,MÃ‰LENCHON,#b2182b,Malakoff,1962,33603.0,1.2237517753741942,2
81,729,91326,45.03,11.87,22478.0,6692.38,0.42,25.02,30.87,29.32,Emmanuel MACRON,14.0,22477.78,,,,3184.0,MACRON,#f0a399,Juvisy-sur-Orge,1962,11902.0,1.5253107779059336,2
82,738,94021,41.52,10.38,20925.0,4391.47,0.33,28.66,30.42,31.64,Jean-Luc MELENCHON,16.0,20925.2,,,,3344.0,MÃ‰LENCHON,#b2182b,Chevilly-Larue,1962,11458.0,3.693745970341715,2
83,747,94076,38.88,14.89,19468.0,10571.46,0.36,29.95,29.96,32.73,Jean-Luc MELENCHON,21.0,19468.46,,,,4323.0,MÃ‰LENCHON,#b2182b,Villejuif,1962,46116.0,1.8185259671122682,2
84,756,94073,52.08,12.25,22431.0,4538.66,0.35,29.06,30.45,31.95,Emmanuel MACRON,15.0,22431.25,,,,3427.0,MACRON,#f0a399,Thiais,1962,15116.0,1.8102994011976048,2
85,765,91027,44.38,9.38,20835.0,3460.67,0.3,25.75,30.82,30.13,Jean-Luc MELENCHON,16.0,20835.33,,,,3139.0,MÃ‰LENCHON,#b2182b,Athis-Mons,1962,24004.0,2.852864273829332,2
86,774,92012,43.74,9.83,31777.0,18897.56,0.64,26.94,29.0,30.49,François FILLON,9.0,31777.33,1661.0,2188566.26,8092.76,7360.0,FILLON,#2166ac,Boulogne-Billancourt,1962,106641.0,1.3429165092557611,2
87,783,94037,22.72,15.23,19914.0,14437.61,0.38,29.39,28.74,32.6,Jean-Luc MELENCHON,20.0,19913.81,,,,5040.0,MÃ‰LENCHON,#b2182b,Gentilly,1962,19211.0,1.1538831161030692,2
88,792,94003,30.19,14.17,21500.0,8626.61,0.41,28.51,29.08,31.91,Jean-Luc MELENCHON,17.0,21500.43,,,,4611.0,MÃ‰LENCHON,#b2182b,Arcueil,1962,20224.0,1.2376988984088126,2
89,801,94043,27.08,14.15,21805.0,16750.64,0.45,29.93,29.0,32.9,Emmanuel MACRON,17.0,21805.0,,,,4983.0,MACRON,#f0a399,Le Kremlin-Bicêtre,1962,18834.0,1.3384025014212622,2
90,810,94038,47.44,12.35,22273.0,7839.49,0.39,28.91,30.45,31.84,Emmanuel MACRON,16.0,22273.41,52.0,2036460.38,7612.44,3888.0,MACRON,#f0a399,L'Haÿ-les-Roses,1962,17968.0,2.241516966067864,2
91,819,94081,36.93,17.54,17943.0,7407.8,0.29,31.28,30.2,33.2,Jean-Luc MELENCHON,24.0,17943.33,,,,3704.0,MÃ‰LENCHON,#b2182b,Vitry-sur-Seine,1962,64409.0,1.4619138408461574,2
92,828,94041,28.65,16.41,17663.0,9491.84,0.37,31.81,28.97,33.67,Jean-Luc MELENCHON,28.0,17662.86,,,,4310.0,MÃ‰LENCHON,#b2182b,Ivry-sur-Seine,1962,54731.0,1.2894569442808341,2
93,837,75103,33.71,10.7,31333.0,,0.7,31.66,27.51,33.52,Emmanuel MACRON,13.0,31333.0,681.0,2524440.65,11379.88,,MACRON,#f0a399,3e Ardt,1962,62680.0,0.9733977295668784,2
94,846,75101,33.51,10.89,32697.0,,0.65,31.37,27.52,33.06,Emmanuel MACRON,11.0,32697.33,482.0,2692822.67,12570.36,,MACRON,#f0a399,1er Ardt,1962,36543.0,1.0017818959372773,2
95,855,75114,31.36,11.8,27288.0,,0.62,30.46,28.75,32.78,Emmanuel MACRON,13.0,27287.6,1655.0,2294996.97,9172.51,,MACRON,#f0a399,14e Ardt,1962,178149.0,1.0146257282963418,2
96,864,75107,38.16,9.56,42466.0,,0.72,32.52,27.81,33.1,François FILLON,8.0,42465.56,3913.0,3086755.64,15497.69,,FILLON,#2166ac,7e Ardt,1962,99584.0,0.9709923068672668,2
97,873,75113,26.97,12.86,23751.0,,0.54,31.79,28.48,33.84,Emmanuel MACRON,17.0,23750.68,887.0,2136714.69,8131.57,,MACRON,#f0a399,13e Ardt,1962,166709.0,1.0437447565144438,2
98,882,75102,34.34,10.78,30567.0,,0.69,32.41,27.51,33.54,Emmanuel MACRON,14.0,30566.5,270.0,2225963.43,8608.2,,MACRON,#f0a399,2e Ardt,1962,40864.0,0.9866003524952316,2
99,891,75105,34.25,9.74,33169.0,,0.73,31.12,27.98,33.18,Emmanuel MACRON,10.0,33169.33,1550.0,2315261.59,9055.89,,MACRON,#f0a399,5e Ardt,1962,96031.0,0.9359016840792141,2
100,900,75106,39.67,10.14,39063.0,,0.73,30.86,27.93,32.9,François FILLON,9.0,39062.67,2588.0,2763411.19,12679.54,,FILLON,#2166ac,6e Ardt,1962,80262.0,0.9559210604671106,2
101,909,75115,31.39,9.91,30448.0,,0.66,30.95,28.59,32.48,Emmanuel MACRON,12.0,30448.0,2948.0,2189492.23,8301.93,,MACRON,#f0a399,15e Ardt,1962,250551.0,1.0227364571130009,2
102,918,75109,38.42,9.92,33258.0,,0.71,32.3,27.51,33.19,Emmanuel MACRON,12.0,33258.0,1045.0,2203110.76,8352.6,,MACRON,#f0a399,9e Ardt,1962,94094.0,0.973392919951172,2
103,927,75104,33.98,10.56,31007.0,,0.7,31.92,27.82,33.65,Emmanuel MACRON,12.0,31007.22,811.0,2696138.07,12966.64,,MACRON,#f0a399,4e Ardt,1962,61670.0,1.02643054492194,2
104,936,75108,36.4,9.08,40540.0,,0.69,32.87,27.62,33.42,François FILLON,9.0,40540.0,1969.0,2800935.38,13268.62,,FILLON,#2166ac,8e Ardt,1962,74577.0,1.0295287004058644,2
105,945,94018,38.73,10.62,27571.0,16066.3,0.52,31.46,28.38,33.2,Emmanuel MACRON,10.0,27570.95,189.0,2152216.3,8019.75,6347.0,MACRON,#f0a399,Charenton-le-Pont,1962,22530.0,1.0500069907256373,2
106,954,75111,34.57,11.96,26810.0,,0.63,32.9,27.86,33.95,Emmanuel MACRON,15.0,26810.33,985.0,2121354.34,7816.46,,MACRON,#f0a399,11e Ardt,1962,193349.0,1.0254684508371918,2
107,963,75110,35.95,12.14,25618.0,,0.62,32.99,27.89,33.82,Emmanuel MACRON,18.0,25618.0,482.0,2171289.52,8380.5,,MACRON,#f0a399,10e Ardt,1962,124497.0,1.0045022147992158,2
108,972,91434,65.27,12.91,23062.0,4804.34,0.31,23.72,31.4,27.93,Jean-Luc MELENCHON,12.0,23062.0,,,,3059.0,MÃ‰LENCHON,#b2182b,Morsang-sur-Orge,1962,8604.0,2.382719468291332,2
109,981,75116,44.82,10.23,38387.0,,0.67,32.96,28.8,33.1,François FILLON,11.0,38387.0,8502.0,2730206.16,12280.63,,FILLON,#2166ac,16e Ardt,1962,227418.0,1.1501325025792486,2
110,990,92072,53.27,10.61,30755.0,5923.16,0.58,25.05,29.61,28.73,Emmanuel MACRON,8.0,30755.0,247.0,2030028.0,6888.88,5408.0,MACRON,#f0a399,Sèvres,1962,20129.0,1.3206272142763418,2
111,999,92044,36.66,10.04,30931.0,26706.2,0.59,31.84,27.79,32.87,François FILLON,9.0,30930.67,546.0,2236646.47,8473.02,7818.0,FILLON,#2166ac,Levallois-Perret,1962,61804.0,1.0019941310938538,2
