,CODGEO,LIBGEO,TauxProprietaires,TauxChomage,NiveauVieMedian,MacronExpIns,MacronExpVote
157,77164,Échouboulains,83.49056604,7.046979866,22713,,
158,77165,Les Écrennes,86.58008658,10.3030303,25582,,
159,77167,Égligny,75.96899225,8.823529412,22950,,
160,77168,Égreville,76.30385488,10.70686071,20835,,
161,77169,Émerainville,65.85540444,11.62954279,24516,,
162,77171,Esbly,75.88964414,9.47503201,25230,"68,16","88,19"
163,77172,Esmans,87.84530387,11.18721461,22556,"68,77","87,74"
164,77173,Étrépilly,79.93527508,7.831325301,23501,,
165,77174,Everly,89.69957082,12.14057508,20734,"68,78","85,37"
166,77175,Évry-Grégy-sur-Yerre,88.02030457,6.294706724,27638,,
167,77176,Faremoutiers,75.88516746,8.903133903,23091,"61,96","86,41"
168,77177,Favières,68,8.950086059,27741,"70,11","90,59"
169,77178,Faÿ-lès-Nemours,88.42105263,7.053941909,23835,"70,94","87,99"
170,77179,Féricy,82.68398268,6.578947368,27901,"77,58","87,38"
171,77180,Férolles-Attilly,87.69931663,6.701030928,31806,"70,35","91,95"
172,77181,Ferrières-en-Brie,58.09806835,7.716870676,26681,"71,47","87,32"
173,77182,La Ferté-Gaucher,40.19753086,21.39011258,17400,"66,28","90,22"
174,77183,La Ferté-sous-Jouarre,49.31042826,15.48740416,19403,"62,62","89,7"
175,77184,Flagy,91.25,7.624633431,23289,"65,63","83,87"
176,77185,Fleury-en-Bière,75.46468401,5.05952381,30929,"73,6","88,67"
177,77186,Fontainebleau,39.57780138,10.11661808,24607,"63,67","89,13"
178,77187,Fontaine-Fourches,86.66666667,18.83561644,19135,"65,03","88,01"
179,77188,Fontaine-le-Port,86.12440191,7.438016529,28593,"72,43",90
180,77190,Fontains,86,7.826086957,24975,"66,03","82,14"
181,77191,Fontenailles,89.16256158,7.00525394,24687,"69,96","88,02"
182,77192,Fontenay-Trésigny,63.7357631,10.04319654,22696,"63,79","87,84"
183,77193,Forfry,87.67123288,6.015037594,28674,"78,14","90,51"
184,77194,Forges,69.07894737,11.62790698,22899,"71,64","89,14"
185,77195,Fouju,90.99526066,4.467353952,26125,68,"86,13"
186,77196,Fresnes-sur-Marne,79.12772586,5.222437137,26656,"72,61","87,94"
187,77197,Frétoy,82.25806452,8.333333333,24105,"72,41","88,42"
188,77198,Fromont,87.91208791,7.407407407,24741,"77,27","90,84"
189,77199,Fublaines,76.68067227,11.44578313,23293,"69,52","89,69"
190,77200,Garentreville,86.36363636,3.389830508,26389,"70,73","81,69"
191,77201,Gastins,82.46268657,7.692307692,23706,"68,89","90,51"
192,77202,La Genevraye,76.22149837,7.398568019,23468,"72,58","89,62"
193,77203,Germigny-l'Évêque,91.6988417,11.14503817,27911,,
