,insee,TauxProprietaires,TauxChomage,NiveauVieMedian
30215,77245,91.76470588,9.166666667,22513
30216,77246,85.71428571,12.17712177,21228
30217,77247,90.90909091,10.30042918,21760
30218,77248,92.09486166,6.486486486,29608
30219,77249,85.60687433,7.660937955,29156
30220,77250,85.48387097,6.976744186,22957
30221,77251,49.00342259,10.67987889,21922
30222,77252,81.29032258,7.692307692,25778
30223,77253,88.46153846,2.857142857,25850
30224,77254,86.04166667,5.196629213,26468
30225,77255,82.84424379,7.785087719,26218
30226,77256,87.14285714,13.75,22448
30227,77257,35.85034014,21.17008444,17876
30228,77258,46.65441176,15.38461538,20743
30229,77259,56.52173913,14.14296695,23653
30230,77260,55.66433566,18.73479319,18686
30231,77261,66.91449814,14.26229508,21489
30232,77262,88.94472362,13.88888889,20942
30233,77263,93.10344828,5.217391304,21186
30234,77264,83.15412186,7.934508816,24747
30235,77265,74.88372093,16.07445008,21617
30236,77266,84.19243986,7.177033493,24673
30237,77267,93.79310345,7.01754386,23019
30238,77268,59.40688776,7.754509641,27287
30239,77269,84.88372093,10.96045198,25694
30240,77270,88.21656051,6.046511628,26436
30241,77271,83.63636364,6.557377049,22103
30242,77272,84.85804416,10.29411765,22820
30243,77273,75,7.894736842,24737
30244,77274,67.37967914,7.835820896,24489
30245,77275,91.83673469,10.9375,21840
30246,77276,69.13705584,12.37337192,24304
30247,77277,86.88811189,8.711217184,25367
30248,77278,87.07482993,10,24379
30249,77279,80.69620253,8.015267176,22146
30250,77280,83.73626374,8.275862069,24054
30251,77281,83.75634518,9.36329588,24907
30252,77282,69.64285714,14.12429379,23069
30253,77283,85.7605178,12.05073996,21935
30254,77284,38.02352726,15.98623853,18259
30255,77285,39.37250868,19.36808847,17643
30256,77286,92.39130435,7.258064516,24987
30257,77287,88.83248731,16.59574468,19598
30258,77288,30.67834707,16.57628159,17467
30259,77289,87.91946309,7.647058824,21090
30260,77290,90.94488189,9.705882353,23814
30261,77291,44.69453376,12.9787234,21310
30262,77292,68.69158879,5.573248408,26842
30263,77293,86.53846154,11.0864745,22505
30264,77294,60.80110497,13.5118498,21333
30265,77295,88.48368522,4.005722461,27698
30266,77296,57.68809636,12.74768824,20508
30267,77297,89.20863309,11.17021277,23158
30268,77298,84.45595855,11.11111111,22256
30269,77300,83.96624473,8.544303797,25588
30270,77301,90.29850746,13.25301205,21080
30271,77302,87.96068796,9.39167556,24398
30272,77303,80.64516129,16.94915254,21830
30273,77304,84.61538462,0,
30274,77305,25.81370733,25.01624431,14933
30275,77306,74.62686567,6.270627063,26721
30276,77307,46.76891616,8.152335614,24837
30277,77308,87.59124088,10.07556675,25905
30278,77309,85.92471358,9.634551495,24065
30279,77310,93.27731092,12.83783784,22217
30280,77311,87.28323699,8.196721311,23268
30281,77312,81.00172712,6.932931424,26051
30282,77313,90.32258065,10.63829787,24553
30283,77314,88.63636364,14.4,21761
30284,77315,81.63841808,7.982261641,25462
30285,77316,72.57878555,9.813476727,24997
30286,77317,52.32815965,14.32823129,20873
30287,77318,75.79737336,7.64075067,24904
30288,77319,80.64516129,10.97560976,21772
30289,77320,81.94097049,11.40483384,22891
30290,77321,84.17508418,14.95601173,20529
30291,77322,79.6579658,7.841945289,25258
30292,77323,68.359375,8.571428571,24581
30293,77325,82.71604938,10.52631579,21746
30294,77326,63.0859375,11.30434783,22249
30295,77327,45.8455237,16.42105263,18193
30296,77328,86.20689655,6.806282723,25396
30297,77329,80.17241379,4.126213592,25082
30298,77330,74.69982847,8.91535243,23738
30299,77331,76.79558011,13.92405063,21182
30300,77332,79.59183673,5.128205128,25138
30301,77333,37.59915389,18.03580392,17677
30302,77335,84.7960445,6.370494552,24268
30303,77336,75.6232687,7.614213198,25692
30304,77337,51.39931741,15.5509517,19287
30305,77338,90.27777778,8.626198083,22959
30306,77339,90.20887728,8.041958042,30512
30307,77340,93.03278689,8.75,25900
30308,77341,82.1192053,12.5,21458
30309,77342,68.75,10,23959
30310,77343,70.46979866,11.29707113,22939
30311,77344,86.59217877,8.515815085,24958
30312,77345,82.12927757,10.4519774,22855
30313,77347,88.39285714,8.625336927,21839
30314,77348,88,13.44537815,27558
30315,77349,77.53036437,10.02027223,24813
30316,77350,68.31695967,9.858340561,25322
30317,77352,86.8852459,7.396149949,26054
30318,77353,89.01098901,9.547738693,25357
30319,77354,92.62536873,5.984555985,23844
30320,77355,92.10526316,10,24010
30321,77356,90.90909091,12,
30322,77357,81.21019108,7.75862069,23288
30323,77358,82.91457286,8.865248227,25320
30324,77359,81.40703518,7.983193277,27158
30325,77360,88.57142857,9.047619048,24488
30326,77361,80.55555556,6.976744186,24369
30327,77363,80.2238806,6.605019815,25463
30328,77364,75.53191489,7.647058824,22720
30329,77365,87.43718593,4.682274247,25747
