ID_BVOTE;SCRUTIN;ANNEE;TOUR;DATE;NUM_CIRC;NUM_QUARTIER;NUM_ARROND;NUM_BUREAU;NB_PROCU;NB_INSCR;NB_EMARG;NB_VOTANT;NB_BL;NB_NUL;NB.EXPRIM;DUPONT-AIGNAN Nicolas;LE PEN Marine;MACRON Emmanuel;HAMON Benoît;ARTHAUD Nathalie;POUTOU Philippe;CHEMINADE Jacques;LASSALLE Jean;MÉLENCHON Jean-Luc;ASSELINEAU François;FILLON François;geo_shape;geo_point_2d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9-11;Présidentielle;2017;1;2007-04-23;18;33;9;11;81;1413;1238;1238;13;1;1224;9;34;549;130;2;5;1;9;189;11;285;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3375981213", 48.8788975856], [2.3369642546, 48.8790109362], [2.3362988089, 48.8796915547], [2.3361029562, 48.8796600477], [2.3350949966, 48.880444551], [2.335896457, 48.8810091764], [2.3377127937, 48.8808541363], [2.3382849388, 48.8806511468], [2.3373975025, 48.8799877113], [2.339965586, 48.8793641749], [2.3397804747, 48.8789216543], [2.3392352184, 48.8768844286], [2.33866856, 48.8775004044], [2.3380742954, 48.8781135784], [2.3375981213," 48.8788975856]]]}"";48.879364176",2.337806982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10-1;Présidentielle;2017;1;2007-04-23;5;39;10;1;0;1460;1191;1191;16;1;1174;18;33;455;154;2;12;0;5;293;11;191;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3568014961", 48.8737545797], [2.3576028743, 48.8751888154], [2.3584480524, 48.8739525018], [2.3590069368, 48.8734408812], [2.3587511647, 48.8732092684], [2.3603172728, 48.8714854601], [2.3598627962, 48.8713758828], [2.3578234488, 48.8714311184], [2.3569749783, 48.8718529825], [2.3577367966, 48.8730979317], [2.3568014961," 48.8737545797]]]}"";48.8728025019",2.358264001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11-44;Présidentielle;2017;1;2007-04-23;6;42;11;44;55;1690;1447;1447;9;6;1432;21;56;560;209;3;11;0;5;325;7;235;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3901265455", 48.8541917285], [2.3898900526, 48.8542979314], [2.3884380849, 48.8553054727], [2.3913112744, 48.8557465121], [2.39267997, 48.8535559502], [2.3930676157, 48.8529992771], [2.3934642427, 48.8523465148], [2.3932184659, 48.8522765767], [2.3941145553, 48.8507367955], [2.3927645622, 48.8505433013], [2.3928010417, 48.8506153455], [2.3922992346, 48.8521489191], [2.3931579428, 48.8524027158], [2.392706796, 48.8531315697], [2.3911689217, 48.8530576843], [2.3909719742, 48.8533666139], [2.3901265455," 48.8541917285]]]}"";48.8536727713",2.391522252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12-2;Présidentielle;2017;1;2007-04-23;8;46;12;2;85;1354;1153;1153;20;0;1133;20;52;410;143;2;9;0;7;258;5;227;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3901394113", 48.8393210939], [2.3922143313, 48.8401841477], [2.3923489294, 48.840381775], [2.39179162, 48.8404987145], [2.3919511222, 48.8412973626], [2.3933997708, 48.8410537105], [2.393725476, 48.8412789745], [2.3946827433, 48.8404647893], [2.3949959669, 48.84059711], [2.3953314558, 48.8402762174], [2.3950405729, 48.8401604362], [2.3957261821, 48.8395772742], [2.3942720816, 48.8393312756], [2.393140636, 48.838543805], [2.3919381532, 48.8391929686], [2.3903480754, 48.8390796563], [2.3901394113," 48.8393210939]]]}"";48.8399338679",2.393111347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12-39;Présidentielle;2017;1;2007-04-23;8;45;12;39;80;1248;1054;1055;8;5;1042;38;62;370;105;2;9;1;9;201;11;234;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.4040928397", 48.8400360924], [2.4055711226, 48.8400609569], [2.4068348983, 48.8401336594], [2.4080111561, 48.8403576702], [2.408953955, 48.8403225018], [2.4085670654, 48.8390062917], [2.40591798, 48.83827474], [2.4060099905, 48.8384059812], [2.4051642084, 48.8381463106], [2.4044116127, 48.8392025687], [2.4039431379, 48.8391613674], [2.4040928397," 48.8400360924]]]}"";48.839382169",2.406450322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12-51;Présidentielle;2017;1;2007-04-23;8;48;12;51;72;1451;1192;1192;14;12;1166;21;57;417;109;3;6;2;9;274;13;255;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3645272339", 48.8461431332], [2.3660446577, 48.8470446906], [2.3665540226, 48.8473697103], [2.3669172354, 48.8481722959], [2.3678079004, 48.8478939324], [2.3679887171, 48.8470102286], [2.3695155047, 48.8468016508], [2.3712264609, 48.8455480339], [2.3743991504, 48.8459201568], [2.3753379892, 48.8453286679], [2.3779259855, 48.8443799685], [2.3781931284, 48.8446025632], [2.3799038794, 48.8437171396], [2.3784850746, 48.8431873623], [2.3762711118, 48.8421546393], [2.3724426014, 48.8402094151], [2.368817416, 48.8428730571], [2.3645272339," 48.8461431332]]]}"";48.8440780568",2.371796943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12-60;Présidentielle;2017;1;2007-04-23;8;48;12;60;57;1352;1130;1131;6;3;1122;15;72;399;154;6;14;6;9;284;7;156;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3767557119", 48.8466517002], [2.3777251536, 48.8473173415], [2.3789511329, 48.8464601096], [2.3796949014, 48.8465390931], [2.3805331569, 48.8478176085], [2.3812143648, 48.8469761675], [2.3816814297, 48.8467275045], [2.383263908, 48.8448855155], [2.3813389059, 48.8454532061], [2.3810354715, 48.845330181], [2.3805531385, 48.8455298248], [2.3797837816, 48.8451860647], [2.3767557119," 48.8466517002]]]}"";48.8462182896",2.38010015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13-4;Présidentielle;2017;1;2007-04-27;9;49;13;4;51;1167;933;933;18;3;912;26;81;263;104;6;13;2;8;252;8;149;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3595848034", 48.8364092318], [2.3596225693, 48.8364645929], [2.3615484026, 48.835678295], [2.363667945, 48.8345475389], [2.3681824672, 48.8377896756], [2.3683905654, 48.8370781974], [2.3689015868, 48.8352538433], [2.3620085248, 48.83296731], [2.3620086489, 48.8332145566], [2.3632193551, 48.8336116399], [2.3595848034," 48.8364092318]]]}"";48.8352741622",2.365397293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13-14;Présidentielle;2017;1;2007-04-23;9;50;13;14;50;1438;1152;1154;23;11;1120;33;119;313;118;8;14;3;10;330;11;161;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3650956669", 48.8286822104], [2.3658229726, 48.8289909098], [2.3674516641, 48.8284880777], [2.36748537, 48.8283019944], [2.3691198073, 48.8280298696], [2.3696329637, 48.8283795414], [2.3694917844, 48.8279739403], [2.3707078396, 48.8277760149], [2.3707029222, 48.8276161822], [2.366301145, 48.8270081421], [2.3661906558, 48.8272293981], [2.3650385632, 48.8273722605], [2.3647061758, 48.8276700626], [2.3653379027, 48.828436531], [2.3650956669," 48.8286822104]]]}"";48.8278795087",2.367131035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14-7;Présidentielle;2017;1;2007-04-23;11;55;14;7;60;1518;1315;1315;13;4;1298;22;56;448;199;2;6;0;4;209;12;340;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3267529766", 48.8268161387], [2.3270752683, 48.8274524386], [2.3288644504, 48.8276959336], [2.329322677, 48.8277114721], [2.3299889995, 48.8276596826], [2.3303651912, 48.8277156454], [2.3318846817, 48.8276672334], [2.332056943, 48.8275833783], [2.3301423159, 48.8267029216], [2.3289208642, 48.8261384761], [2.3271641346, 48.8266871143], [2.3267529766," 48.8268161387]]]}"";48.8270875919",2.329104769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14-12;Présidentielle;2017;1;2007-04-23;11;55;14;12;83;1491;1274;1274;15;5;1254;26;58;483;138;4;7;7;5;169;5;352;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.324086177", 48.8250088401], [2.3255539352, 48.8270112848], [2.3260206038, 48.8265009396], [2.3267523844, 48.8268090498], [2.3291263113, 48.8260611209], [2.3298616547, 48.8255447367], [2.3288590577, 48.8248518377], [2.3283547226, 48.8244972755], [2.3258695064, 48.8247221642], [2.3257945694, 48.8244497954], [2.323909283, 48.8248592714], [2.324086177," 48.8250088401]]]}"";48.8255565118",2.326820997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14-51;Présidentielle;2017;1;2007-04-23;10;56;14;51;55;1410;1136;1135;16;10;1109;39;89;339;114;2;7;2;7;254;12;244;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3099915966", 48.8322715326], [2.3108602037, 48.8329727624], [2.3135222974, 48.8319325144], [2.3151900288, 48.8315482416], [2.3139832586, 48.8305912957], [2.3133368295, 48.8302594336], [2.3125224329, 48.8309201601], [2.3121329419, 48.8308763612], [2.3099915966," 48.8322715326]]]}"";48.8316371253",2.312519608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15-48;Présidentielle;2017;1;2007-04-23;13;57;15;48;48;1559;1193;1193;18;4;1171;27;129;297;114;4;20;3;6;307;6;258;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3002272927", 48.8254122507], [2.2985987241, 48.8278625148], [2.2987759342, 48.8281945551], [2.299182422, 48.8284632038], [2.298956394, 48.8291148851], [2.3010794163, 48.8286630195], [2.3010169102, 48.8290158874], [2.3014619539, 48.8289225474], [2.3014081252, 48.8287711863], [2.3029589385, 48.8285624409], [2.3029057694, 48.8282742552], [2.3045446667, 48.8279253638], [2.3011995633, 48.8251899715], [2.3002272927," 48.8254122507]]]}"";48.8273357582",2.301184266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2-3;Présidentielle;2017;1;2007-04-23;1;5;2;3;41;816;682;682;5;1;676;5;30;236;59;1;2;1;2;76;4;260;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3281417596", 48.8698892335], [2.3321025897, 48.8705642292], [2.336973716, 48.8713975454], [2.3366791942, 48.8688683243], [2.3358579696, 48.8670374481], [2.3307125529, 48.8681844044], [2.3299915464, 48.8685228673], [2.3281417596," 48.8698892335]]]}"";48.8692846224",2.333450928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4-3;Présidentielle;2017;1;2007-04-23;7;14;4;3;57;1367;1157;1157;4;6;1147;14;40;475;123;4;3;1;2;216;6;263;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3592979989", 48.8572104279], [2.3587893472, 48.857530996], [2.3578840843, 48.857869794], [2.3581370645, 48.8579047452], [2.3585207433, 48.8582519691], [2.3588873399, 48.858606129], [2.3593775893, 48.8583002604], [2.3607025115, 48.8576673135], [2.3617223146, 48.8572363361], [2.3642467346, 48.8564512725], [2.3633036046, 48.85508188], [2.3619798373, 48.8554598777], [2.3616385585, 48.8551177399], [2.3611529777, 48.855247559], [2.361292207, 48.8562180883], [2.3592979989," 48.8572104279]]]}"";48.8567026513",2.361381182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5-17;Présidentielle;2017;1;2007-04-23;2;18;5;17;93;1466;1288;1288;16;3;1269;25;46;539;120;3;11;0;6;227;13;279;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3490520645", 48.8371082189], [2.3493192769, 48.8376788677], [2.3507623269, 48.8384862877], [2.3532229934, 48.8389058108], [2.354373739, 48.8376288258], [2.3517626276, 48.8368085057], [2.3490520645," 48.8371082189]]]}"";48.8377777298",2.351762823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7-5;Présidentielle;2017;1;2007-04-23;2;25;7;5;106;1329;1161;1165;8;2;1155;5;28;363;40;1;4;1;12;70;4;627;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3239365948", 48.8593024289], [2.3269044338, 48.8582603253], [2.3297889557, 48.857223578], [2.3317098808, 48.8564200268], [2.3307392563, 48.8551285283], [2.3303967219, 48.8544683964], [2.3276452502, 48.8552629579], [2.3259257345, 48.8560349442], [2.3245913278, 48.8569717167], [2.3231580675, 48.8584973239], [2.3239365948," 48.8593024289]]]}"";48.8568335285",2.327472751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7-21;Présidentielle;2017;1;2007-04-23;2;28;7;21;100;1350;1199;1198;8;5;1185;8;38;283;33;2;4;0;5;57;4;751;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3034966007", 48.8588250461], [2.3033137565, 48.8587732778], [2.3008302259, 48.8597766745], [2.3018296822, 48.8626684598], [2.3017551007, 48.8634499179], [2.3054234329, 48.8635199273], [2.3054554161, 48.8611545211], [2.3062838071, 48.8594670902], [2.3051004557, 48.8592271556], [2.3047476938, 48.8593247434], [2.3037115788, 48.8590084109], [2.3034966007," 48.8588250461]]]}"";48.8611792488",2.3035239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7-24;Présidentielle;2017;1;2007-04-23;2;28;7;24;113;1139;981;981;5;1;975;12;31;222;17;0;0;1;0;27;1;664;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.2931776802", 48.8607375497], [2.2942013779, 48.8614752924], [2.3054222884, 48.8542772558], [2.3043695393, 48.8535513988], [2.2931776802," 48.8607375497]]]}"";48.8575076075",2.299297422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8-4;Présidentielle;2017;1;2007-04-23;1;32;8;4;101;1343;1157;1157;8;1;1148;16;47;347;32;1;3;1;1;42;3;655;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3032729073", 48.8791268197], [2.3090207161, 48.8803532836], [2.3131045443, 48.880854938], [2.3150320585, 48.8790970339], [2.3153687502, 48.878955376], [2.3154354839, 48.8779470232], [2.3105534544, 48.8777370051], [2.3079228451, 48.8764325481], [2.3067906972, 48.8773515544], [2.305279033, 48.8780786514], [2.3032729073," 48.8791268197]]]}"";48.8788606132",2.309843296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9-1;Présidentielle;2017;1;2007-04-23;18;35;9;1;67;1313;1082;1081;9;2;1070;13;37;477;93;2;3;1;3;140;1;300;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3430453023", 48.8736871054], [2.343287467, 48.8728500403], [2.3434195344, 48.8718715941], [2.3457062689, 48.8712333351], [2.347821077, 48.8709198529], [2.3478210436, 48.8707658711], [2.3400455414, 48.8720278377], [2.3371557581, 48.8715487768], [2.338119829, 48.8741335385], [2.3424703945, 48.8740454486], [2.3430453023," 48.8736871054]]]}"";48.8727677738",2.340750427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10-14;Présidentielle;2017;1;2007-04-23;5;40;10;14;92;1540;1270;1270;7;5;1258;8;46;392;213;3;13;0;10;445;12;116;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3704493366", 48.8737720986], [2.3707266807, 48.8734352494], [2.3715314773, 48.8724933667], [2.3735095041, 48.8729605925], [2.3744779008, 48.8728484809], [2.3728625357, 48.8720528747], [2.3714975507, 48.8722882227], [2.3719420446, 48.8717908258], [2.3718442101, 48.8717524933], [2.372641714, 48.8706153021], [2.3707491504, 48.8707553878], [2.3703133593, 48.871304807], [2.3699277933, 48.8718681597], [2.370253379, 48.8725289547], [2.3704431178, 48.8734170316], [2.3702435208, 48.8735996352], [2.3704493366," 48.8737720986]]]}"";48.8720129041",2.37153811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11-6;Présidentielle;2017;1;2007-04-23;7;43;11;6;109;1605;1376;1376;7;1;1368;25;44;546;190;5;8;2;3;332;10;203;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.380320478", 48.8535563624], [2.3804236406, 48.8535883507], [2.3793812519, 48.8548718578], [2.3820043349, 48.8539240219], [2.3822694892, 48.8539705429], [2.3840151575, 48.8511768252], [2.3819411934, 48.8511851768], [2.3815727764, 48.8505673357], [2.3802549252, 48.8505920823], [2.3811827289, 48.8524173262], [2.3808565414, 48.8526813315], [2.380320478," 48.8535563624]]]}"";48.8524811972",2.381733131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11-23;Présidentielle;2017;1;2007-04-23;7;41;11;23;110;1665;1431;1432;17;2;1413;18;48;577;201;5;11;2;12;323;12;204;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3709769989", 48.8663458385], [2.3696293314, 48.8684653859], [2.3724352545, 48.8680996617], [2.3744984677, 48.865278215], [2.3712258701, 48.8659241053], [2.3709769989," 48.8663458385]]]}"";48.866915413",2.371988298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11-45;Présidentielle;2017;1;2007-04-23;6;42;11;45;62;1573;1315;1316;9;0;1307;32;66;531;135;4;6;1;5;238;6;283;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3913234157", 48.8557525114], [2.3891621068, 48.8554483049], [2.3884762903, 48.8569044558], [2.3896569804, 48.8568962716], [2.3900137566, 48.8579440296], [2.3898986869, 48.8581402532], [2.390283828, 48.8580159649], [2.3915646373, 48.8558054412], [2.392222326, 48.8555113598], [2.3929624941, 48.8536232095], [2.3926824572, 48.8535627582], [2.3913234157," 48.8557525114]]]}"";48.8561120837",2.390514579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12-13;Présidentielle;2017;1;2007-04-23;8;46;12;13;74;1450;1233;1233;7;6;1220;13;46;509;139;4;8;1;8;228;10;254;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3851466037", 48.8499811884], [2.3895674762, 48.8493104376], [2.3885001387, 48.8480118452], [2.3890817315, 48.8473565435], [2.3876368556, 48.8466675806], [2.3876637995, 48.8465834684], [2.3875981177, 48.8465452708], [2.3871146208, 48.8469403418], [2.3859154686, 48.8484954398], [2.3861087425, 48.8486440352], [2.3851466037," 48.8499811884]]]}"";48.8484700446",2.387447498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12-24;Présidentielle;2017;1;2007-04-23;8;46;12;24;66;1415;1177;1177;13;4;1160;29;72;424;167;2;4;5;8;259;11;179;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3949846853", 48.8363210358], [2.3971835557, 48.835698307], [2.3984538189, 48.8367124997], [2.3977374655, 48.8373212168], [2.3988415808, 48.8379720538], [2.3992033666, 48.8380851486], [2.3983814002, 48.8375960094], [2.4001653987, 48.836270207], [2.399980984, 48.8360493026], [2.3996425937, 48.8358492586], [2.400401118, 48.8350252707], [2.4007726499, 48.8346602075], [2.3946962545, 48.8362504344], [2.3949846853," 48.8363210358]]]}"";48.8360757507",2.398699169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12-29;Présidentielle;2017;1;2007-04-23;8;46;12;29;58;1372;1109;1109;19;5;1085;25;91;371;113;1;13;2;8;192;17;252;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3949354232", 48.8336054058], [2.3952222832, 48.8337575919], [2.3957165744, 48.8340198214], [2.3965452279, 48.8333741282], [2.3966952581, 48.8334645959], [2.3967353712, 48.8339991874], [2.3975127757, 48.8339575458], [2.3977691067, 48.8341288093], [2.3990016485, 48.8332161843], [2.4003353232, 48.8334349141], [2.4019681369, 48.8335544942], [2.4033144651, 48.8326099729], [2.403755292, 48.8324147864], [2.4041528692, 48.8323230549], [2.4060547855, 48.8321665022], [2.4071520055, 48.8319134761], [2.4024127463, 48.8296611163], [2.4015206516, 48.8294070267], [2.3949354232," 48.8336054058]]]}"";48.8319069919",2.400993857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12-33;Présidentielle;2017;1;2007-04-23;8;45;12;33;49;1528;1249;1249;26;4;1219;36;80;443;135;5;15;1;9;219;9;267;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.4022829586", 48.844906251], [2.4057115029, 48.844677919], [2.4051537547, 48.8442680658], [2.404755567, 48.8429970723], [2.4023077288, 48.8433680292], [2.4022528327, 48.8423602698], [2.4023101027, 48.8410943097], [2.4009441903, 48.8412259229], [2.4022829586," 48.844906251]]]}"";48.8434518965",2.403052605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12-36;Présidentielle;2017;1;2007-04-23;8;45;12;36;58;1415;1151;1151;11;5;1135;37;109;368;131;4;7;0;7;220;12;240;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.4086923271", 48.8472068984], [2.4111598145, 48.8469828939], [2.4106914153, 48.8454502944], [2.412389444, 48.8452218092], [2.4117128189, 48.8441801637], [2.4089899363, 48.8444560711], [2.407912233, 48.8445509195], [2.4079045304, 48.8447526808], [2.4084331796, 48.8450875166], [2.4087737532, 48.8452264091], [2.408748054, 48.8453139206], [2.4091383132, 48.8454567076], [2.4094523828, 48.8466866079], [2.4085952396, 48.8467578734], [2.4086923271," 48.8472068984]]]}"";48.8454943632",2.410138616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12-47;Présidentielle;2017;1;2007-04-23;8;47;12;47;41;1426;1157;1157;9;24;1124;26;94;357;113;7;9;1;8;277;8;224;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3725265379", 48.8401733095], [2.3763630957, 48.8421323524], [2.3787427351, 48.8431894186], [2.3798306022, 48.8435971735], [2.3867997885, 48.839183555], [2.3837068047, 48.8371201433], [2.383605856, 48.8371704881], [2.3824731685, 48.8364580336], [2.3845775611, 48.834914768], [2.3810218436, 48.8329364708], [2.3771437099, 48.8360564348], [2.3748352603, 48.838168777], [2.3731499612, 48.8397003773], [2.3725265379," 48.8401733095]]]}"";48.8386923493",2.379848873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12-62;Présidentielle;2017;1;2007-04-23;8;48;12;62;98;1451;1262;1262;12;6;1251;14;42;509;190;1;12;1;9;273;4;196;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3732040963", 48.8505967071], [2.371941876, 48.8516837662], [2.3722728084, 48.8522834685], [2.3737833871, 48.851835078], [2.377064206, 48.8510160421], [2.3767690457, 48.8509304603], [2.3762934313, 48.8502582489], [2.3754527631, 48.8507050167], [2.3741948433, 48.8495876206], [2.3725712463, 48.8486962275], [2.3712025407, 48.8493626696], [2.3732040963," 48.8505967071]]]}"";48.85056339",2.373754426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13-11;Présidentielle;2017;1;2007-04-23;9;50;13;11;42;1471;1156;1156;18;8;1130;28;86;359;110;4;15;3;9;314;12;190;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3612356836", 48.8309718299], [2.3636074116, 48.8314980172], [2.3640486308, 48.8312205252], [2.3640831853, 48.8309617635], [2.3649956618, 48.8293334613], [2.3649888013, 48.8290916012], [2.3639120676, 48.8288574116], [2.3629634032, 48.829972135], [2.3621221645, 48.8303271914], [2.3616118657, 48.8306256044], [2.3612356836," 48.8309718299]]]}"";48.8302977688",2.363411694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
