ID_BVOTE;SCRUTIN;ANNEE;TOUR;DATE;NUM_CIRC;NUM_QUARTIER;NUM_ARROND;NUM_BUREAU;NB_PROCU;NB_INSCR;NB_EMARG;NB_VOTANT;NB_BL;NB_NUL;NB.EXPRIM;DUPONT-AIGNAN Nicolas;LE PEN Marine;MACRON Emmanuel;HAMON Benoît;ARTHAUD Nathalie;POUTOU Philippe;CHEMINADE Jacques;LASSALLE Jean;MÉLENCHON Jean-Luc;ASSELINEAU François;FILLON François;geo_shape;geo_point_2d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"17-46;Présidentielle;2017;1;2007-04-23;4;67;17;46;76;1476;1310;1311;9;4;1298;11;46;471;88;3;1;1;7;119;4;547;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.307918761", 48.8854055331], [2.309580554, 48.8859234943], [2.3103029048, 48.8853785895], [2.3136346836, 48.883763667], [2.3127173485, 48.8832651067], [2.3119042545, 48.8824581744], [2.3114786708, 48.8818594244], [2.3096942519, 48.8833775345], [2.309536416, 48.8836814404], [2.3088405481, 48.8841775494], [2.3084480623, 48.8849156117], [2.307918761," 48.8854055331]]]}"";48.8840506184",2.31069958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"17-58;Présidentielle;2017;1;2007-04-23;4;66;17;58;77;1462;1217;1222;19;3;1200;36;105;312;62;3;4;4;6;164;9;495;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.284292445", 48.8826305955], [2.2820027974, 48.8837015911], [2.2856739823, 48.8865495234], [2.2865124865, 48.8869380072], [2.2895697591, 48.8857108733], [2.2910180539, 48.885315039], [2.2900258148, 48.884693251], [2.2896400282, 48.884738967], [2.2878938655, 48.883604151], [2.2871211633, 48.8836850362], [2.2865104526, 48.8841120776], [2.284292445," 48.8826305955]]]}"";48.8848151075",2.28626532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"18-12;Présidentielle;2017;1;2007-04-23;18;70;18;12;32;1596;1183;1180;19;8;1153;29;144;306;147;6;10;1;6;396;15;93;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3442382295", 48.8974717358], [2.344069364, 48.8974564598], [2.3436395878, 48.8966356339], [2.3433034284, 48.8962243938], [2.3430521254, 48.8949183941], [2.3431776587, 48.8946326124], [2.3414996224, 48.8942500734], [2.3415414588, 48.8944320623], [2.3409498546, 48.8948570682], [2.3407837783, 48.8948330373], [2.3427597553, 48.8979065663], [2.3441582723, 48.8979308619], [2.3442382295," 48.8974717358]]]}"";48.8960880254",2.342551902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"19-17;Présidentielle;2017;1;2007-04-23;16;76;19;17;78;1484;1272;1272;9;7;1256;17;51;425;147;6;11;1;6;306;16;270;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3803176605", 48.8788263801], [2.3824784207, 48.8787994905], [2.3837131192, 48.8792217964], [2.3841908985, 48.8792903196], [2.3849494599, 48.8790021469], [2.3855095096, 48.8787659202], [2.3856575129, 48.8793402663], [2.3860196637, 48.8793646644], [2.3857767334, 48.878313279], [2.3858849428, 48.8782448551], [2.3857899196, 48.877664449], [2.3856153396, 48.877570446], [2.3855332343, 48.8768883814], [2.3852875065, 48.87688719], [2.383793807, 48.8770967286], [2.3836120325, 48.876716063], [2.3828867102, 48.8768249011], [2.3817574154, 48.8771793737], [2.381252391, 48.8777373582], [2.3807315509, 48.8777902084], [2.3803176605," 48.8788263801]]]}"";48.878046837",2.383442398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"19-18;Présidentielle;2017;1;2007-04-23;16;75;19;18;15;766;565;565;4;11;550;19;49;144;53;1;1;2;2;186;3;90;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3987735167", 48.8902257974], [2.3991381717, 48.8882189105], [2.3991795114, 48.886521786], [2.3991897827, 48.8853947971], [2.4000365288, 48.8838460909], [2.3983659698, 48.8841318567], [2.3976191257, 48.8858450349], [2.3973003723, 48.8861296425], [2.3963992866, 48.886222619], [2.3962242535, 48.8864724612], [2.3948921907, 48.8868639629], [2.3948926322, 48.8872432133], [2.3943808088, 48.8873752868], [2.3949041426, 48.8879911098], [2.3951128662, 48.8888576785], [2.3949627464, 48.889225664], [2.3971529263, 48.8898057273], [2.3987735167," 48.8902257974]]]}"";48.8874583031",2.397439763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"19-46;Présidentielle;2017;1;2007-04-23;16;74;19;46;45;1746;1401;1401;24;11;1366;28;62;412;187;6;7;2;3;402;8;249;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3848856852", 48.8866619633], [2.3845614508, 48.8879067408], [2.3845614493, 48.8879052186], [2.38382996, 48.8893000844], [2.3832493945, 48.8898064876], [2.383638089, 48.8899979824], [2.3835829536, 48.8900909582], [2.3837936601, 48.8901458366], [2.3841215747, 48.889881044], [2.3838606388, 48.8895610227], [2.3840282795, 48.8894001683], [2.3845756518, 48.889563038], [2.3855065435, 48.8888041937], [2.3858126679, 48.8888895002], [2.386183972, 48.8883454916], [2.3883147756, 48.8889858226], [2.3872339594, 48.8922779966], [2.3931203762, 48.8952926325], [2.3968223531, 48.8960776482], [2.3977381389, 48.8945954642], [2.3985939363, 48.8913157868], [2.3987542369, 48.8902906121], [2.3848856852," 48.8866619633]]]}"";48.8914275331",2.392362875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20-37;Présidentielle;2017;1;2007-04-23;15;77;20;37;56;1513;1169;1172;15;5;1152;20;63;305;164;5;15;2;7;416;17;138;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.4082481703", 48.8557371558], [2.4081184307, 48.8556251283], [2.4088747323, 48.8549196988], [2.4096801945, 48.8533455256], [2.406533877, 48.8527792322], [2.4054248853, 48.8558606532], [2.4054848468, 48.8561045586], [2.4058246425, 48.8560593846], [2.4062146745, 48.856243846], [2.407609455, 48.8564092928], [2.4074198034, 48.8558473003], [2.4082481703," 48.8557371558]]]}"";48.8545347969",2.407380479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20-51;Présidentielle;2017;1;2007-04-23;15;77;20;51;65;1724;1470;1473;13;4;1456;24;81;522;189;4;8;1;7;332;10;278;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.4042456963", 48.8512197319], [2.4039942454, 48.8521961568], [2.4051746111, 48.8523071448], [2.4061203474, 48.8524569826], [2.4062284148, 48.8514858564], [2.4063928009, 48.8505380049], [2.4036948152, 48.8500313174], [2.4024116583, 48.8499517447], [2.4019785852, 48.8509534769], [2.4042456963," 48.8512197319]]]}"";48.8510593239",2.404510609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3-7;Présidentielle;2017;1;2007-04-23;1;11;3;7;110;1415;1258;1258;7;3;1248;15;35;530;115;3;3;1;2;197;12;335;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3645840918", 48.8599244439], [2.3677764441, 48.8584619511], [2.3684257465, 48.8558393698], [2.3672057901, 48.8560398261], [2.3672432273, 48.8568636236], [2.3645840714, 48.8573810175], [2.3647178657, 48.8580499966], [2.3644675211, 48.8580907233], [2.3634475071, 48.8594291105], [2.3645606903, 48.8594008841], [2.3645840918," 48.8599244439]]]}"";48.858018288",2.366157355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3-15;Présidentielle;2017;1;2007-04-23;1;9;3;15;101;1454;1266;1266;10;4;1252;10;43;544;142;1;3;0;6;213;3;287;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3533738223", 48.8675693949], [2.3545796314, 48.8672661378], [2.3569709718, 48.8669562458], [2.3581018003, 48.8669778723], [2.3585550839, 48.867401483], [2.3593640783, 48.8672800179], [2.3592535868, 48.8669070248], [2.3582648076, 48.8658263845], [2.3603469253, 48.8654044304], [2.3596295267, 48.8647101033], [2.3561409728, 48.865439502], [2.3553401686, 48.8652728417], [2.3532293743, 48.8648526617], [2.3516358259, 48.8645024575], [2.3533738223," 48.8675693949]]]}"";48.8660374931",2.355748191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
